author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296306235/;Санкт-Петербург;sale;flat;17;18;1;26.1;6655500;Василеостровский; Вадима Шефнера;4;Василеостровская;Магеллан (Гавань Капитанов)
Самолет;developer;https://spb.cian.ru/sale/flat/296759953/;Санкт-Петербург;sale;flat;2;8;1;36.2;6679987;Курортный;;;Проспект Просвещения;Курортный квартал ЖК
Самолет;developer;https://spb.cian.ru/sale/flat/295426177/;Санкт-Петербург;sale;flat;4;11;1;27.27;6730550;Невский; Гудиловская;5к1;Рыбацкое;Живи! в Рыбацком
Самолет;developer;https://spb.cian.ru/sale/flat/295426168/;Санкт-Петербург;sale;flat;2;11;1;23.35;6680169;Невский; Гудиловская;5к1;Рыбацкое;Живи! в Рыбацком
Самолет;developer;https://spb.cian.ru/sale/flat/285024177/;Санкт-Петербург;sale;flat;2;11;1;25.97;6682237;Невский; Гудиловская;6к1;Обухово;Живи! в Рыбацком
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/299561114/;Санкт-Петербург;sale;flat;6;16;1;24.73;6722158;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
ВАРИАНТ;real_estate_agent;https://spb.cian.ru/sale/flat/299320588/;Санкт-Петербург;sale;flat;1;12;1;27.5;6650000;Выборгский;Манчестерская ;3к2;Удельная;Панорама парк Сосновка
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950371/;Санкт-Петербург;sale;flat;6;24;-1;30.53;6716600;Московский;Новоизмайловское;;;YE'S Leader
Лидер Групп;developer;https://spb.cian.ru/sale/flat/295883063/;Санкт-Петербург;sale;flat;13;24;-1;25.14;6737520;Московский;Новоизмайловское;;;YE'S Leader
Группа Аквилон;developer;https://spb.cian.ru/sale/flat/294664538/;Санкт-Петербург;sale;flat;1;11;1;39.0;6743100;Пушкинский;проспект Старорусский;13к2;Звездная;All Inclusive
ФСК;developer;https://spb.cian.ru/sale/flat/297552904/;Санкт-Петербург;sale;flat;4;13;-1;31.07;6653329;Приморский;Коломяжский проспект;4;Черная речка;Апартаменты Zoom Черная Речка
SENATOR;developer;https://spb.cian.ru/sale/flat/293297444/;Санкт-Петербург;sale;flat;11;11;1;21.6;6746000;Невский;Октябрьская набережная;86К2;Пролетарская;Панорама Невы
РСТИ;developer;https://spb.cian.ru/sale/flat/295858749/;Санкт-Петербург;sale;flat;3;9;1;25.2;6672730;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
КВС;developer;https://spb.cian.ru/sale/flat/294621678/;Санкт-Петербург;sale;flat;2;17;1;23.06;6684480;Калининский;Финляндский;;;Квартал бизнес-класса Б15
;;https://spb.cian.ru/sale/flat/292227372/;Санкт-Петербург;sale;flat;1;17;1;27.9;6696000;Московский; Федора Котанова;5к2;Звездная;Звезды Столиц
