,floor,floors_count,rooms_count,total_meters,price,cian_id,distance_to_subway,distance_to_center,district_rank
3201,6,6,4,86.7,13850000,293892003,0.0043117039544555815,3427.5520132710753,2
3202,3,25,4,102.0,13900000,297181992,0.0,11979.932014471957,13
3203,4,4,4,90.5,13900000,297979553,0.002339671891833469,5470.702711468866,6
3204,1,20,4,96.8,13850000,295000023,0.00022791451658001424,11280.436096628826,13
3205,2,12,4,95.3,14000000,298731207,0.0009237562894858905,16366.513562788246,15
3206,1,4,4,92.0,14000000,299476395,0.0023506079553717394,5388.551588060551,14
3207,7,9,4,89.6,13999000,298024684,0.0,15347.185795642863,13
3208,14,17,4,93.4,14000000,294443672,0.0006000159099681303,12873.016661490987,10
3209,8,25,4,90.3,14000000,286724706,0.0,6146.635440363442,10
3210,6,10,4,87.0,13950000,298978798,0.0,10948.966175134443,9
3211,1,5,4,99.2,14200000,287451643,0.0013154802003575374,3840.180796501739,2
3212,2,4,4,90.2,14300000,295149773,0.0004375248239078675,3864.64428597455,4
3213,16,18,4,91.9,14300000,295417950,0.0,12840.796249121604,10
3214,3,5,4,112.0,14300000,299331310,0.0,24802.99069133654,18
3215,3,7,4,89.5,14500000,299056633,0.0016534863791561499,3102.0314174964983,2
3216,5,7,4,87.9,14500000,289127994,0.003269507359127102,3029.7188089534425,2
3217,6,6,4,73.7,14499000,291445707,0.003906702698348984,1869.9011762534215,3
3218,4,5,4,90.2,14750000,299027642,0.0013660628616852242,8008.19812980864,6
3219,1,5,4,153.1,14750000,295874522,0.0,27266.222139086793,11
3220,6,7,4,96.0,14700000,294366951,0.001535767969661517,3373.2104365161435,8
3221,2,6,4,83.5,14800000,299549603,0.0005121090252730214,4105.668354667174,4
3222,1,5,4,79.6,14800000,299467884,0.0006470615787861538,4504.624954368535,8
3223,2,7,4,81.0,14800000,296569738,0.0016050845074168838,2449.545639240941,4
3224,1,17,4,89.1,14900000,274206729,0.0008134162117403564,12695.97590902127,7
3225,5,5,4,100.4,14900000,295443218,0.01152756017732882,2900.019516373478,8
3226,4,4,4,95.6,14900000,294971223,0.0014997391223400024,3976.166736112955,2
3227,3,5,4,87.2,14900000,270066611,0.0014209960198212162,1684.5687482541732,1
3228,4,5,4,100.3,14970000,294080703,0.00028610689874685244,3696.447908923722,3
3229,2,4,4,86.0,14999999,295202005,0.00048708858301478797,2359.1334533946247,3
3230,6,16,4,81.0,15000000,299446289,0.0,14138.511883214756,9
3231,3,7,4,123.8,14950000,295758245,0.001212805314718776,3342.8251809148214,6
3232,3,5,4,79.7,14999000,296517079,0.0013464957548375183,3551.0393797493557,2
3233,15,18,4,92.5,14990000,298680344,0.0005549698633198734,12840.796249121604,10
3234,7,7,4,63.4,14990000,299018374,0.00954641122244632,5708.098537877216,10
3235,3,6,4,78.4,15000000,282431368,0.003438503289255708,2176.464729289556,1
3236,3,12,4,95.8,15000000,298958395,0.0009085005976709125,15206.998939888083,15
3237,2,6,4,95.5,15000000,258889938,0.0020496036137968333,5850.733120403511,7
3238,2,5,4,109.3,15200000,298298216,0.0005366239577402909,3133.9778523916034,3
3239,2,5,4,109.3,15200000,297350425,0.0003388182017740711,3133.9778523916034,3
3240,5,5,4,93.3,15300000,296423185,0.0008209719439717173,5618.8852164368045,15
3241,5,5,4,93.0,15300000,295696797,0.0008209719439717173,5618.8852164368045,15
3242,6,6,4,99.2,15400000,289204044,0.0023786475246156923,2613.8479678829854,2
3243,2,3,4,86.6,15250000,291872035,0.0007320688613870301,10434.410454367342,17
3244,1,4,4,90.5,15550000,290923611,0.00033405531482765373,5835.282239939567,10
3245,3,16,4,70.8,15500000,293569601,0.0008615215702470178,5268.729034072217,4
3246,4,5,4,93.0,15500000,261956802,0.0018385011549321884,3519.9005683255687,3
3247,4,6,4,80.9,15500000,283112336,0.0017111846957757635,2402.1982767420063,4
3248,3,7,4,108.9,15600000,293528161,0.001972435497523116,2995.018525035292,2
3249,5,6,4,95.1,15700000,295112299,0.0016354717155570577,3133.439214324991,2
3250,7,8,4,98.6,15800000,297953054,0.00022711069927646118,13795.189988612012,13
3251,1,7,-1,138.1,15899000,294495551,0.002116478069169843,2329.848134393702,1
3252,1,5,4,105.3,15795000,280332249,0.0033597814667625627,4364.317512543131,2
3253,13,14,4,108.2,15800000,295798689,0.0004563806333770279,8922.810337315967,9
3254,5,5,4,72.4,15930000,299254220,0.00035559308620496165,2962.4790783289095,3
3255,8,23,4,94.8,16026000,299112284,0.0005474415060142136,14653.495770928648,6
3256,6,7,4,92.6,16000000,294612657,0.0027014378807169804,2605.295449177691,1
3257,6,6,4,84.0,15950000,294346234,0.001452870488530436,3767.131914878254,2
3258,4,11,4,108.0,16000000,299515851,0.0004971740104115125,11879.252397081249,7
3259,6,7,4,102.7,15900000,295091501,0.0007279753353122716,3921.1460505010427,2
3260,1,5,4,124.3,16000000,292103156,0.0027171960315030734,1906.0090940071204,1
3261,6,7,4,104.0,15900000,275161935,0.0017941011439070293,1860.8112150918587,1
3262,3,4,4,95.9,16000000,296739035,0.0,4100.306744120241,14
3263,5,6,4,99.5,16000000,274206528,0.0008740503125354738,3780.602484063706,2
3264,3,4,4,79.2,15999000,291899921,0.016021835732408278,3265.462972301422,2
3265,3,9,4,106.5,16000000,295919592,0.00038046800569475567,12488.66787653465,8
