,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2123,2,13,3,87.06,21156000,Калининский, Академика Константинова,1к1,Академическая,297263175,Академика Константинова 1к1,30.1169694,59.5758075
2124,2,8,3,86.3,21143877,Московский,Лиговский проспект,287,Московские ворота,298657926,Лиговский проспект 287,30.332359551943217,59.8961806
2125,17,17,3,85.1,21166349,Невский,Октябрьская набережная,11Б,Пролетарская,297359509,Октябрьская набережная 11Б,30.4469472,59.8935011
2126,1,12,3,85.9,21241953,Василеостровский,Гавань,1,Приморская,279628295,Гавань 1,30.18184861947747,59.871402700000004
2127,2,25,3,88.54,21137138,Приморский,Богатырский проспект,2А,Пионерская,297024805,Богатырский проспект 2А,30.304165603503527,60.000785050000005
2128,2,9,3,78.17,21259999,Адмиралтейский, Шкапина,43-45,Балтийская,299481486,Шкапина 43-45,30.2959521,59.9087317
2129,14,15,3,88.4,21366280,Невский,Октябрьская набережная,57к3,Елизаровская,294544489,Октябрьская набережная 57к3,30.4469472,59.8935011
2130,2,4,3,98.1,21360000,Курортный, Тарховская,84Б,Зенит,299315567,Тарховская 84Б,29.9714787,60.0765824
2131,1,6,3,76.6,21256500,Выборгский,Зеленогорская ,3,Удельная,298198034,Зеленогорская 3,45.902260745468496,51.58098175
2132,5,11,3,89.5,21340000,Центральный,Днепропетровская ,7,Лиговский проспект,293426149,Днепропетровская 7,30.363063100187034,59.9191354
2133,2,5,3,93.75,21562500,Выборгский, Береговая,12,Проспект Просвещения,294140959,Береговая 12,92.84686067566929,53.8459085
2134,2,12,3,97.7,21648146,Московский,Черниговская ,17,Московские ворота,298657755,Черниговская 17,50.307503972209446,53.295697950000005
2135,2,12,3,94.1,21464163,Московский,Черниговская ,17,Московские ворота,298657704,Черниговская 17,50.307503972209446,53.295697950000005
2136,6,16,3,99.9,21500000,Приморский, Савушкина,127,Беговая,287392183,Савушкина 127,30.2188831,59.9872313
2137,3,10,3,94.0,21500000,Красносельский, Адмирала Коновалова,2-4,Проспект Ветеранов,277257698,Адмирала Коновалова 2-4,30.1478473,59.8503253
2138,6,19,3,96.86,21660109,Приморский,Коломяжский проспект,13,Пионерская,299571710,Коломяжский проспект 13,30.303107024011773,60.0018695
2139,4,12,3,96.8,21843291,Московский,Черниговская ,17,Московские ворота,298657764,Черниговская 17,50.307503972209446,53.295697950000005
2140,5,19,3,105.2,21700000,Московский, Парфеновская,17,Московские ворота,298657098,Парфеновская 17,30.31249306459226,59.8934103
