author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/298743664/,Санкт-Петербург,sale,flat,15,19,1,26.7,5300000,Выборгский,Заречная ,13к1,Парнас,
Лидер Групп,developer,https://spb.cian.ru/sale/flat/286950381/,Санкт-Петербург,sale,flat,7,24,-1,19.94,5343920,Московский,Новоизмайловское,,,YE'S Leader
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/297293974/,Санкт-Петербург,sale,flat,3,13,1,22.8,5332493,Приморский,Юнтолово,,Беговая,Тайм Сквер ЖК
Первое Агентство Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/293240446/,Санкт-Петербург,sale,flat,4,25,1,25.39,5300000,Приморский,проспект Авиаконструкторов,69,Комендантский проспект,Чистое небо
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/294664570/,Санкт-Петербург,sale,flat,1,11,1,26.0,5304646,Пушкинский,проспект Старорусский,13к2,Звездная,All Inclusive
ID 112431174,homeowner,https://spb.cian.ru/sale/flat/297517318/,Санкт-Петербург,sale,flat,15,25,1,24.0,5300000,Приморский,Комендантский проспект,67,Комендантский проспект,Чистое небо
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/298075661/,Санкт-Петербург,sale,flat,8,25,1,24.49,5368654,Приморский,Коломяги,,Проспект Просвещения,Френдс ЖК
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/299196212/,Санкт-Петербург,sale,flat,5,14,-1,24.3,5350000,Красногвардейский,Магнитогорская ,51,Новочеркасская,Ladozhsky AVENIR
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/296181350/,Санкт-Петербург,sale,flat,3,23,1,21.08,5385940,Красносельский,Юго-Запад,,Автово,Морская миля ЖК
Самолет,developer,https://spb.cian.ru/sale/flat/284755001/,Санкт-Петербург,sale,flat,1,9,1,25.04,5353889,Курортный,,581,Проспект Просвещения,Курортный квартал ЖК
Самолет,developer,https://spb.cian.ru/sale/flat/296291015/,Санкт-Петербург,sale,flat,5,8,1,25.6,5389023,Курортный,,5,Парнас,Курортный квартал ЖК
Владис Центральный,real_estate_agent,https://spb.cian.ru/sale/flat/299502431/,Санкт-Петербург,sale,flat,6,18,-1,19.1,5350000,Фрунзенский, Салова,61,Бухарестская,Комплекс апартаментов Valo City
Первое Агентство Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/293139010/,Санкт-Петербург,sale,flat,5,25,1,25.2,5350000,Приморский, Верхне-Каменская,9к2,,
КВС,developer,https://spb.cian.ru/sale/flat/279690651/,Санкт-Петербург,sale,flat,1,5,1,26.0,5392320,Пушкинский, Нины Петровой,6к1,Купчино,ЮгТаун. Олимпийские кварталы
,,https://spb.cian.ru/sale/flat/292781828/,Санкт-Петербург,sale,flat,13,13,-1,23.3,5399728,Невский,Варфоломеевская ,6,Ломоносовская,Апарт-отель Начало
ID 48317463,unknown,https://spb.cian.ru/sale/flat/298704570/,Санкт-Петербург,sale,flat,4,17,1,27.0,5350000,Приморский, Верхне-Каменская,11к1,Комендантский проспект,Чистое небо
Самолет,developer,https://spb.cian.ru/sale/flat/296091910/,Санкт-Петербург,sale,flat,2,8,1,25.93,5441998,Колпинский,,10,Шушары,Астрид ЖК
