,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
4587,1,10,4,93.8,13814874,Курортный,,,Парнас,296759970
4588,3,5,4,114.9,34000000,Василеостровский,6-я Васильевского острова линия,39,Василеостровская,295929474
4589,2,7,4,190.0,80938900,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298657994
4590,1,6,4,78.8,13790000,Пушкинский, Архитектора Данини,19к1,Купчино,295942577
4591,1,4,4,149.4,42130800,Красносельский,проспект Патриотов,33,,296569861
4592,3,3,4,250.0,55000000,Приморский,1-я Утиная ,17к1,Озерки,297218809
4593,7,10,4,88.1,20206445,Приморский,Парашютная ,79к1,Озерки,292425364
4594,2,4,4,190.0,129500000,Петроградский,набережная Мартынова,62Е,Крестовский остров,297860311
4595,1,8,4,93.4,16083995,Курортный,,3,Проспект Просвещения,294402051
4596,2,3,4,176.9,45000000,Василеостровский,15-я Васильевского острова линия,84,Василеостровская,297234009
4597,4,23,4,140.66,35165000,Московский,Гагаринское,,,286949833
4598,3,12,4,83.0,17790000,Приморский,Дибуновская ,37,Старая Деревня,288009985
4599,2,4,4,100.25,19975800,Пушкинский,,,Купчино,295840318
4600,4,6,4,97.3,15900000,Адмиралтейский,Бронницкая ,22,Технологический институт,293650125
4601,13,14,4,110.48,27984584,Василеостровский,Гавань,,Приморская,299052466
4602,1,6,4,122.8,32000000,Петроградский, Подрезова,18,Петроградская,293911859
4603,6,7,4,180.6,122638526,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298658000
4604,2,5,4,93.4,19400000,Адмиралтейский,Галерная ,46,Василеостровская,297789928
4605,4,7,4,190.2,76103775,Василеостровский,13-я Васильевского острова линия,50,Василеостровская,290200463
4606,4,6,4,110.1,17700000,Центральный,Гангутская ,16,,287087868
4607,3,4,4,135.4,47660800,Красносельский,проспект Патриотов,33,,296569901
4608,7,9,4,89.5,14700000,Василеостровский,проспект Большой Васильевского острова,62,Василеостровская,295918936
4609,8,18,4,128.6,25720000,Василеостровский,бульвар Головнина,3к1,Горный институт,297709745
4610,7,16,4,135.0,23000000,Калининский,проспект Непокоренных,49к2,Площадь Мужества,292946106
4611,1,3,4,116.8,22557811,Петродворцовый,Красносельское шоссе,22,Проспект Ветеранов,293828725
4612,4,6,4,126.5,21505000,Центральный,2-я Советская ,27/2,Площадь Восстания,286808931
4613,14,14,4,124.3,48497627,Красногвардейский,Большая Охта,,Ладожская,298804776
4614,16,16,4,111.4,24800000,Калининский, Ушинского,2к1,Гражданский проспект,294688938
4615,3,4,4,102.95,20948400,Пушкинский,,,Купчино,294621046
4616,3,5,4,59.0,8700000,Московский, Костюшко,90,Московская,293032379
4617,23,23,4,129.9,24176095,Выборгский,дорога Ольгинская,,Парнас,298864057
4618,4,14,4,79.4,9500000,Красногвардейский, Передовиков,29К1,Улица Дыбенко,297504537
4619,3,3,4,105.1,21939619,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,285685213
4620,3,8,4,177.7,56000000,Центральный,набережная Воскресенская,12,Площадь Ленина,297901385
4621,4,23,4,75.64,16823125,Невский,Рыбацкое,4,Рыбацкое,296654423
4622,2,4,4,125.0,33500000,Центральный,5-я Советская ,32,Площадь Восстания,298490670
4623,9,9,4,150.5,66776850,Петроградский,Петровский проспект,11к2,Крестовский остров,294546000
4624,16,16,4,132.5,26500000,Василеостровский,Морская набережная,39к3,Приморская,297724408
4625,1,18,4,151.1,35475660,Невский,проспект Обуховской обороны,70к4,Елизаровская,299324379
4626,6,7,4,240.0,65000000,Петроградский,Каменноостровский проспект,54/31,Петроградская,299348378
4627,3,3,4,225.3,157710000,Петроградский,Санаторная аллея,3,Черная речка,244728473
4628,5,5,4,104.3,19000000,Центральный,Дегтярная ,13,Площадь Восстания,295978709
4629,2,3,4,257.6,218960000,Петроградский,Санаторная аллея,3,Черная речка,244728465
4630,6,8,4,130.5,41000000,Петроградский, Кропоткина,24Б,Горьковская,298771765
4631,3,18,4,134.4,26880000,Василеостровский,бульвар Головнина,3к1,Горный институт,294573115
4632,10,15,4,173.4,55000000,Приморский,Дибуновская ,50,Старая Деревня,295910523
4633,1,8,4,149.5,42167970,Красносельский,проспект Патриотов,33,,297300193
4634,1,15,4,124.7,34499000,Красногвардейский,Магнитогорская ,3к2,Новочеркасская,289687176
4635,9,9,4,163.14,69008600,Центральный,проспект Бакунина,,Площадь Александра Невского,293751348
4636,2,7,4,138.4,50930000,Адмиралтейский,Малодетскосельский проспект,40,Фрунзенская,299336198
4637,7,9,4,154.6,46843800,Петроградский,Петровский проспект,11к2,Крестовский остров,294545978
4638,6,8,4,157.0,69500000,Приморский,Приморский проспект,78к5,Беговая,295910462
4639,4,4,4,96.93,17917848,Петродворцовый,,,Проспект Ветеранов,295854276
4640,2,20,4,113.0,21500000,Невский, Ворошилова,31к3,Проспект Большевиков,298366333
4641,2,4,4,103.65,20960830,Пушкинский,,,,294620910
4642,4,7,4,178.0,75000000,Петроградский,проезд Петровская коса,6к1,Крестовский остров,293659280
4643,1,9,4,178.8,60827760,Петроградский,Петровский проспект,11к3,Спортивная,294545773
4644,10,16,4,206.8,175000000,Выборгский,Большой Сампсониевский проспект,4-6,Площадь Ленина,291788206
4645,5,7,4,156.8,72777936,Василеостровский,13-я Васильевского острова линия,50,Василеостровская,290200473
4646,7,7,4,213.4,88117000,Петроградский, Рентгена,25,Петроградская,299336131
4647,3,9,4,137.0,46885001,Центральный,проспект Бакунина,,Площадь Александра Невского,293263708
4648,7,7,4,363.0,350000000,Петроградский,Динамовская ,2,Крестовский остров,297418798
4649,2,5,4,216.4,207531061,Петроградский,набережная Гребного канала,1,Крестовский остров,244728275
4650,7,7,4,212.4,88922000,Петроградский, Рентгена,25,Петроградская,299336278
4651,1,4,4,151.6,173893083,Петроградский,1-я Березовая аллея,7,Черная речка,288144324
