author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Росстройинвест;developer;https://spb.cian.ru/sale/flat/280432142/;Санкт-Петербург;sale;flat;3;12;2;61.06;13142197;Красногвардейский;Полюстрово;;Академическая;Академик
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/295347896/;Санкт-Петербург;sale;flat;10;12;2;52.35;13050226;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
Самолет;developer;https://spb.cian.ru/sale/flat/296862506/;Санкт-Петербург;sale;flat;6;8;2;55.55;13062258;Красносельский;Константиновское;;Проспект Ветеранов;Сандэй ЖК
Самолет;developer;https://spb.cian.ru/sale/flat/286877774/;Санкт-Петербург;sale;flat;1;11;2;63.32;13119018;Невский; Гудиловская;6к1;Обухово;Живи! в Рыбацком
РСТИ;developer;https://spb.cian.ru/sale/flat/298331320/;Санкт-Петербург;sale;flat;4;9;2;54.0;13015617;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
Полис;developer;https://spb.cian.ru/sale/flat/293380292/;Санкт-Петербург;sale;flat;10;12;2;52.63;13078888;Приморский;аллея Арцеуловская;7к2;Пионерская;Полис Приморский 2
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/293304089/;Санкт-Петербург;sale;flat;13;18;2;51.56;13001395;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/299516741/;Санкт-Петербург;sale;flat;4;16;2;53.51;13010972;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297293383/;Санкт-Петербург;sale;flat;9;13;2;60.5;13045133;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297292793/;Санкт-Петербург;sale;flat;11;13;2;52.0;13144111;Приморский;Юнтолово;;Беговая;Тайм Сквер
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/297123852/;Санкт-Петербург;sale;flat;5;23;2;52.68;13000000;Калининский;Полюстровский проспект;;;БелАрт
КВС;developer;https://spb.cian.ru/sale/flat/299153169/;Санкт-Петербург;sale;flat;1;4;2;65.7;13105890;Пушкинский;;;Купчино;Дубровский ЖК
РСТИ;developer;https://spb.cian.ru/sale/flat/280115687/;Санкт-Петербург;sale;flat;2;7;2;48.32;13033798;Калининский;Финляндский;;Выборгская;Master Place
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609342/;Санкт-Петербург;sale;flat;7;7;2;56.42;13075000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609166/;Санкт-Петербург;sale;flat;1;7;2;57.23;13135000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
Самолет;developer;https://spb.cian.ru/sale/flat/298690311/;Санкт-Петербург;sale;flat;4;7;2;54.63;13223097;Красносельский;Константиновское;;Проспект Ветеранов;Сандэй
VEREN GROUP;developer;https://spb.cian.ru/sale/flat/293828768/;Санкт-Петербург;sale;flat;10;10;2;50.4;13259278;Приморский;Парашютная ;79к1;Озерки;Veren Next Шуваловский
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/297904416/;Санкт-Петербург;sale;flat;2;12;2;58.68;13200212;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/274433562/;Санкт-Петербург;sale;flat;9;16;2;53.59;13293803;Московский;Кубинская ;82к1;Ленинский проспект;Cube
