floor,floors_count,rooms_count,total_meters,price,distance_to_subway,distance_to_center,district_rank
4,8,1,25.52,15132619,0.0027167605928378087,2612.434051709723,1
4,11,1,28.2,5500000,0.0003562467308190572,15274.675709375642,18
7,11,1,44.89,18404900,0.002691499980391655,5337.23626028407,10
6,26,1,46.9,13990000,0.0012543115437903941,11463.865737588883,15
10,11,1,35.2,10610000,0.0012618841324962757,11691.385622017355,15
9,25,1,31.4,6780000,0.0002487397775629381,12003.10279007954,9
2,8,1,45.33,20277423,0.0027167605928378087,2612.434051709723,1
10,11,1,35.37,10990000,0.002593286833756486,3684.5654870590233,2
1,17,1,38.4,7107840,0.0,14138.511883214756,9
6,8,1,40.55,23660000,0.0017169116406143784,3259.869239767524,1
1,6,1,30.3,8500000,0.0015536346999410005,2326.83240354289,1
2,11,1,55.77,22386078,0.002691499980391655,5337.23626028407,10
11,18,1,33.4,7700000,0.0008065649769145697,13292.558192721694,7
2,24,1,40.6,6540660,0.0,14467.660341501061,9
15,15,1,38.6,15940000,0.001140434331557724,5895.844544992677,10
7,25,1,34.56,19688676,0.0014625032939982365,10341.328270571776,7
2,5,1,31.1,5500000,0.0005410462036838524,12787.124318048083,17
6,23,1,66.5,21147000,0.0008606429687940384,7074.693753651223,6
13,15,1,45.4,7700000,0.00022142538833299854,14389.964101486657,13
11,15,1,34.3,6800000,0.000702547817185808,11397.983828840694,17
5,25,1,51.7,9461100,0.0006845045686329397,12774.579788042094,8
2,4,1,40.9,15000000,0.0031350814996500315,1596.6473811427409,2
9,11,1,46.37,10766000,0.0012618841324962757,11691.385622017355,15
14,18,1,31.0,7500000,0.0005062764828895831,6093.749143663351,4
9,23,1,40.1,6500000,0.0004987553220574718,17643.02802106215,15
10,11,1,28.9,10809500,0.0012618841324962757,11691.385622017355,15
5,9,1,58.33,41000000,0.0010960334586016364,3229.846786518408,1
10,11,1,41.0,5800000,0.0,15100.171342856785,6
5,10,1,39.5,9500000,0.0,1764.241065946079,5
17,25,1,43.1,24880294,0.0014625032939982365,10341.328270571776,7
14,25,1,33.5,5899000,0.0005357065206022592,17527.584747987392,15
7,15,1,39.0,7200000,0.00021486544224358435,14728.850631531192,6
2,5,1,29.3,5690000,0.0006639866538077951,7457.580675028996,6
1,4,1,34.3,6150247,0.0,24513.100936791954,18
13,13,1,33.7,15800000,0.0003595947170311076,5505.659556532029,10
8,25,1,41.31,11218263,0.0022092997571388586,6516.88336096182,9
9,10,1,46.7,9600000,0.0007212329094881078,9383.02899255692,9
3,4,1,38.2,7050211,0.0,24513.100936791954,18
6,9,1,32.5,6300000,0.0017275713282309466,9713.251141597559,15
15,18,1,36.1,11335405,0.0011680118701997276,4958.649701377589,3
19,24,1,33.9,8500000,0.0016229118324963202,6934.905623735339,10
2,21,1,32.0,9300000,0.002074992745448374,9231.789194787447,14
2,12,1,35.1,6750000,0.0007785024637674033,8101.081608543035,6
12,25,1,42.59,11086743,0.0022092997571388586,6516.88336096182,9
2,12,1,36.73,10500000,0.0007964301837182361,4959.245931056914,9
7,18,1,36.8,12016058,0.0011127270923814955,4568.991465194513,3
4,4,1,31.1,12927000,0.005538320737912244,2515.2812866574013,2
2,10,1,41.1,17482036,0.001809267428977409,5113.850529863661,9
5,5,1,31.6,5300000,0.000777840367879057,8915.804291808949,15
5,9,1,50.35,20006294,0.0012671506381348664,2431.4119256350064,4
2,9,1,36.0,6150000,0.0,12497.258255255454,13
2,16,1,46.0,8499999,0.0019409895667998754,10602.46480266586,15
3,5,1,31.0,6490000,0.0012023753851849782,9208.877495409564,6
18,26,1,32.2,7084000,0.00028215610000601805,14765.691186827775,18
5,15,1,46.3,13200000,0.0008380670463248181,4597.824163655737,14
1,12,1,35.9,8750000,0.0008857523073903568,7623.953019021157,6
13,24,1,36.8,6100000,0.0004229339210593603,14212.907583298076,15
8,9,1,30.5,5200000,0.0,14566.101969879694,13
8,12,1,34.99,12407000,0.0007171105828576463,4511.638648020734,6
6,18,1,40.3,9200000,0.0008924581090276274,6571.200157855845,9
7,10,1,36.8,14664779,0.001809267428977409,5113.850529863661,9
5,9,1,60.15,42000000,0.0010960334586016364,3229.846786518408,1
4,23,1,45.4,13687242,0.0010317245879766614,13235.02215092884,6
4,25,1,40.01,8199000,0.00021340357108143535,12541.880350432613,9
18,27,1,38.9,7580000,0.0003105085770495327,18748.272323678662,15
1,27,1,41.29,8493353,0.0,16035.092089458927,6
13,26,1,39.5,10900000,0.0014608921394951026,8454.84200673418,9
7,12,1,45.75,12970125,0.0002443202332049146,11930.967202371161,9
